https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BTC
1535410800,2018-08-27 23:00:00,BTC/USD,6758.2,6940.8,6744.4,6909.4,37328104.69,5440.82
1535407200,2018-08-27 22:00:00,BTC/USD,6740.4,6766.7,6729.7,6758.2,5006530.98,741.81
1535403600,2018-08-27 21:00:00,BTC/USD,6728.3,6745.3,6722.3,6740.4,3601090.87,535.08
1535400000,2018-08-27 20:00:00,BTC/USD,6745.4,6746.6,6728.03,6728.3,1354790.73,201.1
1535396400,2018-08-27 19:00:00,BTC/USD,6738.8,6750.0,6736.3,6745.4,2599789.38,385.61
1535392800,2018-08-27 18:00:00,BTC/USD,6750.0,6750.8,6732.05,6738.8,3009615.81,446.45
1535389200,2018-08-27 17:00:00,BTC/USD,6751.9,6756.3,6738.7,6750.0,2374523.3,351.81
1535385600,2018-08-27 16:00:00,BTC/USD,6760.0,6766.3,6736.0,6751.9,4394925.46,651.08
1535382000,2018-08-27 15:00:00,BTC/USD,6724.2,6762.0,6724.2,6760.0,5154498.78,764.25
1535378400,2018-08-27 14:00:00,BTC/USD,6724.93,6785.0,6714.3,6724.2,11769808.18,1746.35
1535374800,2018-08-27 13:00:00,BTC/USD,6700.0,6725.0,6700.0,6724.93,16332431.53,2436.92
1535371200,2018-08-27 12:00:00,BTC/USD,6717.0,6769.9,6700.0,6700.0,18839686.08,2805.39
1535367600,2018-08-27 11:00:00,BTC/USD,6716.8,6730.1,6708.0,6717.0,4420350.59,657.84
1535364000,2018-08-27 10:00:00,BTC/USD,6702.95,6720.1,6702.9,6716.8,2989356.08,445.15
1535360400,2018-08-27 09:00:00,BTC/USD,6709.0,6709.2,6700.0,6702.95,4747760.6,708.38
1535356800,2018-08-27 08:00:00,BTC/USD,6711.48,6717.7,6689.25,6709.0,3701246.61,552.09
1535353200,2018-08-27 07:00:00,BTC/USD,6715.2,6731.0,6708.8,6711.48,3208799.98,477.61
1535349600,2018-08-27 06:00:00,BTC/USD,6721.9,6722.1,6705.9,6715.2,1946742.74,290.01
1535346000,2018-08-27 05:00:00,BTC/USD,6710.0,6740.1,6704.0,6721.9,11722268.71,1741.66
1535342400,2018-08-27 04:00:00,BTC/USD,6676.0,6727.4,6676.0,6710.0,3907698.44,582.47
1535338800,2018-08-27 03:00:00,BTC/USD,6673.0,6684.0,6652.7,6676.0,782682.83,117.34
1535335200,2018-08-27 02:00:00,BTC/USD,6669.9,6684.95,6665.0,6673.0,1597325.51,239.28
1535331600,2018-08-27 01:00:00,BTC/USD,6702.9,6706.7,6666.24,6669.9,1728989.64,258.79
1535328000,2018-08-27 00:00:00,BTC/USD,6707.0,6710.7,6689.7,6702.9,1494501.54,223.18
