,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
F,10.218670845031738,10.538003921508789,11.632862091064453,17.768625259399414,32.182701110839844,28.988473892211914,23.8125,15.9399995803833,9.5,16.100000381469727,14.65999984741211,7.71999979019165,7.559999942779541,6.730000019073486,2.299999952316284,10.170000076293945,17.020000457763672,11.0,13.229999542236328,15.420000076293945,15.59000015258789,13.869999885559082,12.199999809265137,12.520000457763672,7.53000020980835,9.289999961853027,8.8100004196167
HMC,8.8125,10.4375,14.15625,18.25,16.0625,19.0625,18.53125,20.40999984741211,18.149999618530273,22.5,26.190000534057617,29.139999389648438,39.810001373291016,33.029998779296875,21.40999984741211,34.25,39.84000015258789,31.18000030517578,37.689998626708984,41.099998474121094,29.670000076293945,30.860000610351562,29.479999542236328,34.310001373291016,26.110000610351562,28.600000381469727,28.0
NYT,11.0,14.6875,18.875,32.9375,34.25,49.125,40.0,43.25,45.75,47.7400016784668,40.650001525878906,26.25,24.270000457763672,17.489999771118164,7.210000038146973,12.649999618530273,9.869999885559082,7.980000019073486,8.789999961853027,15.829999923706055,13.279999732971191,13.25,13.449999809265137,18.600000381469727,21.940000534057617,32.279998779296875,51.9900016784668
CLX,14.65625,17.84375,25.09375,39.625,58.40625,49.75,35.375,39.29999923706055,41.75,48.70000076293945,58.97999954223633,57.189998626708984,64.30000305175781,64.7699966430664,55.900001525878906,61.54999923706055,61.58000183105469,67.13999938964844,73.88999938964844,92.75,103.95999908447266,125.3499984741211,120.56999969482422,148.7899932861328,152.99000549316406,153.3800048828125,201.89999389648438
CL,7.890625,8.75,11.53125,18.625,23.25,32.0,31.674999237060547,28.625,26.260000228881836,24.975000381469727,25.454999923706055,27.489999771118164,32.974998474121094,39.0,34.23500061035156,41.244998931884766,40.16999816894531,45.69499969482422,52.80500030517578,64.88999938964844,69.16999816894531,65.4000015258789,65.55999755859375,75.43000030517578,59.2400016784668,68.83999633789062,84.77999877929688
EMR,15.53125,20.28125,24.1875,28.375,30.46875,28.4375,39.40625,28.350000381469727,25.524999618530273,32.375,35.099998474121094,37.525001525878906,44.119998931884766,56.65999984741211,36.720001220703125,43.150001525878906,57.61000061035156,48.2400016784668,53.959999084472656,69.83000183105469,61.84000015258789,47.83000183105469,56.25,70.05999755859375,58.79999923706055,76.56999969482422,80.58000183105469
TM,42.0,42.25,57.5,57.0,52.75,97.5,62.95000076293945,50.5099983215332,53.0,69.0,82.0999984741211,105.80000305175781,135.25,106.5999984741211,65.25,84.75,79.0199966430664,67.38999938964844,94.77999877929688,121.5999984741211,126.2300033569336,121.5199966430664,118.16999816894531,127.43000030517578,114.68000030517578,142.0,155.80999755859375
NSANY,16.5,15.25,11.75,8.0,6.1875,8.125,11.0,10.800000190734863,15.5,22.600000381469727,21.6200008392334,20.600000381469727,24.3799991607666,21.719999313354492,7.21999979019165,17.649999618530273,19.0,18.290000915527344,19.09000015258789,16.780000686645508,17.56999969482422,20.3700008392334,20.25,19.65999984741211,15.9399995803833,11.5600004196167,10.520000457763672
VZ,22.37065315246582,29.958688735961914,29.171781539916992,41.59367752075195,49.46275329589844,54.52144241333008,44.62889099121094,42.94266128540039,35.2084846496582,31.56622886657715,36.69236755371094,27.159547805786133,35.129356384277344,40.982696533203125,32.00077438354492,31.32549285888672,36.060001373291016,40.279998779296875,44.4900016784668,49.08000183105469,47.0,45.66999816894531,53.959999084472656,53.15999984741211,56.15999984741211,61.380001068115234,58.959999084472656
DISH,2.25,3.125,2.75,2.125,6.078125,50.625,23.0625,27.450000762939453,22.40999984741211,34.09000015258789,33.220001220703125,27.229999542236328,38.04999923706055,33.13999938964844,11.149999618530273,20.90999984741211,19.739999771118164,28.729999542236328,36.95000076293945,57.9900016784668,72.81999969482422,56.11000061035156,58.5,48.40999984741211,24.350000381469727,35.869998931884766,32.43000030517578
T,15.247356414794922,21.714502334594727,19.59025764465332,27.945619583129883,39.9358024597168,36.67862319946289,35.92333984375,29.645015716552734,21.072507858276367,19.690332412719727,19.622356414794922,18.496978759765625,26.94108772277832,31.351964950561523,21.70694923400879,21.457704544067383,22.41691780090332,23.00604248046875,25.974319458007812,26.616313934326172,25.37009048461914,25.74018096923828,32.243202209472656,29.501510620117188,21.525680541992188,29.57703971862793,22.197885513305664
CMCSA,2.6041669845581055,2.9583330154418945,2.9583330154418945,5.3020830154418945,9.625,16.145832061767578,13.645833015441895,12.010000228881836,7.809999942779541,10.970000267028809,11.09000015258789,8.683333396911621,14.126667022705078,9.149999618530273,8.359999656677246,8.375,11.085000038146973,12.140000343322754,19.024999618530273,25.899999618530273,29.0,27.575000762939453,34.834999084472656,40.86000061035156,33.4900016784668,45.36000061035156,52.279998779296875
MSFT,3.84375,5.492187976837158,10.390625,16.203125,34.90234375,58.6875,22.0625,33.32500076293945,26.149999618530273,27.579999923706055,26.799999237060547,26.25,29.90999984741211,35.790000915527344,19.530000686645508,30.6200008392334,28.049999237060547,26.549999237060547,27.25,37.349998474121094,46.65999984741211,54.31999969482422,62.790000915527344,86.12999725341797,99.55000305175781,158.77999877929688,222.52999877929688
SCHW,1.7160489559173584,2.962963104248047,4.6666669845581055,8.916666984558105,18.75,25.666667938232422,28.4375,15.420000076293945,10.930000305175781,11.84000015258789,11.800000190734863,14.510000228881836,19.200000762939453,25.549999237060547,16.049999237060547,19.209999084472656,17.229999542236328,11.510000228881836,14.670000076293945,25.989999771118164,30.40999984741211,31.950000762939453,40.04999923706055,51.54999923706055,40.70000076293945,47.7599983215332,53.220001220703125
MS,8.46875,11.6875,16.59375,29.25,35.40625,68.625,78.25,55.91999816894531,40.15999984741211,57.88999938964844,55.970001220703125,57.16999816894531,81.93000030517578,52.97999954223633,16.010000228881836,30.700000762939453,27.6299991607666,15.760000228881836,20.15999984741211,31.329999923706055,39.04999923706055,30.700000762939453,43.09000015258789,52.7599983215332,39.02000045776367,51.20000076293945,69.27999877929688
RJF,1.843621015548706,2.781893014907837,3.9341559410095215,7.888888835906982,6.185184955596924,5.462963104248047,10.370369911193848,10.48888874053955,8.808889389038086,11.229630470275879,13.844444274902344,16.808889389038086,20.266666412353516,21.64666748046875,11.493332862854004,15.960000038146973,22.0,21.233333587646484,26.373332977294922,34.88666534423828,38.45333480834961,37.706668853759766,46.91999816894531,59.7400016784668,48.619998931884766,60.02000045776367,63.746665954589844
WFC,5.75,8.28125,10.9375,19.125,19.96875,20.15625,27.21875,21.690000534057617,23.575000762939453,29.25,31.114999771118164,31.600000381469727,35.93000030517578,30.479999542236328,29.18000030517578,27.020000457763672,31.299999237060547,27.940000534057617,35.029998779296875,45.150001525878906,55.11000061035156,53.09000015258789,55.66999816894531,61.040000915527344,45.529998779296875,53.849998474121094,30.31999969482422
BAC,11.28125,17.34375,24.5,30.5,29.875,25.125,22.65625,31.155000686645508,34.95500183105469,39.875,46.65999984741211,46.91999816894531,53.400001525878906,41.529998779296875,13.920000076293945,15.239999771118164,13.850000381469727,5.75,12.050000190734863,15.6899995803833,17.989999771118164,16.450000762939453,22.600000381469727,29.75,24.079999923706055,35.349998474121094,30.459999084472656
